      Step     Time          Energy         fmax
BFGS:    0 17:13:26        3.767861       17.2100
BFGS:    1 17:13:26        4.474009       22.0779
BFGS:    2 17:13:26        2.679903        4.0176
BFGS:    3 17:13:27        2.164642        3.2385
BFGS:    4 17:13:27        1.575972       10.3273
BFGS:    5 17:13:27        1.058952        4.0797
BFGS:    6 17:13:27        0.624477        3.4080
BFGS:    7 17:13:28        0.179489        2.3194
BFGS:    8 17:13:28       -0.142207        2.0911
BFGS:    9 17:13:28       -0.279619        1.9817
BFGS:   10 17:13:29       -0.489343        1.1827
BFGS:   11 17:13:29       -0.613400        1.0532
BFGS:   12 17:13:29       -0.684068        1.2415
BFGS:   13 17:13:29       -0.789681        1.2331
BFGS:   14 17:13:30       -0.838092        1.2283
BFGS:   15 17:13:30       -0.896186        0.7869
BFGS:   16 17:13:30       -0.959015        0.6318
BFGS:   17 17:13:30       -0.990989        0.5415
BFGS:   18 17:13:31       -1.033336        0.3784
BFGS:   19 17:13:31       -1.057300        0.4614
BFGS:   20 17:13:31       -1.087498        0.5870
BFGS:   21 17:13:32       -1.107569        0.5490
BFGS:   22 17:13:32       -1.121626        0.4629
BFGS:   23 17:13:32       -1.145365        0.3800
BFGS:   24 17:13:32       -1.160346        0.2814
BFGS:   25 17:13:33       -1.164088        0.2468
BFGS:   26 17:13:33       -1.172778        0.2217
BFGS:   27 17:13:33       -1.175164        0.1795
BFGS:   28 17:13:33       -1.192342        0.1350
BFGS:   29 17:13:34       -1.197849        0.1348
BFGS:   30 17:13:34       -1.207205        0.0712
BFGS:   31 17:13:34       -1.210985        0.0562
BFGS:   32 17:13:35       -1.218450        0.0431
      Step     Time          Energy         fmax
BFGS:    0 19:48:13        3.866777       13.5900
BFGS:    1 19:48:14        5.571184       23.2072
BFGS:    2 19:48:14        3.652145        5.7202
BFGS:    3 19:48:14        2.923630        1.8377
BFGS:    4 19:48:15        2.757151        4.9801
BFGS:    5 19:48:15        2.470139        2.8140
BFGS:    6 19:48:15        2.101551        3.5609
BFGS:    7 19:48:15        1.941341        0.9603
BFGS:    8 19:48:16        1.864611        1.0554
BFGS:    9 19:48:16        1.576285        2.2786
BFGS:   10 19:48:16        1.397637        2.3698
BFGS:   11 19:48:17        0.911161        3.0351
BFGS:   12 19:48:17        0.743626        1.7156
BFGS:   13 19:48:17        0.580454        1.5234
BFGS:   14 19:48:17        0.369810        1.6880
BFGS:   15 19:48:18        0.205726        1.1899
BFGS:   16 19:48:18        0.094672        1.0596
BFGS:   17 19:48:18        0.001881        1.2730
BFGS:   18 19:48:18       -0.178408        2.0980
BFGS:   19 19:48:19       -0.305853        1.2826
BFGS:   20 19:48:19       -0.560753        1.0963
BFGS:   21 19:48:19       -0.684321        1.0334
BFGS:   22 19:48:20       -0.776164        1.4684
BFGS:   23 19:48:20       -0.854801        1.0675
BFGS:   24 19:48:20       -0.910857        0.7014
BFGS:   25 19:48:20       -0.982911        0.5539
BFGS:   26 19:48:21       -1.003668        0.5569
BFGS:   27 19:48:21       -1.042033        0.5362
BFGS:   28 19:48:21       -1.068725        0.4761
BFGS:   29 19:48:21       -1.086182        0.3927
BFGS:   30 19:48:22       -1.133088        0.4938
BFGS:   31 19:48:22       -1.144544        0.4809
BFGS:   32 19:48:22       -1.159471        0.3202
BFGS:   33 19:48:23       -1.162397        0.2063
BFGS:   34 19:48:23       -1.179117        0.2088
BFGS:   35 19:48:23       -1.190219        0.2642
BFGS:   36 19:48:23       -1.210951        0.3043
BFGS:   37 19:48:24       -1.204269        0.2118
BFGS:   38 19:48:24       -1.206769        0.1198
BFGS:   39 19:48:24       -1.202039        0.1628
BFGS:   40 19:48:24       -1.215084        0.2143
BFGS:   41 19:48:25       -1.220429        0.2307
BFGS:   42 19:48:25       -1.212538        0.2032
BFGS:   43 19:48:25       -1.214313        0.1253
BFGS:   44 19:48:26       -1.220762        0.0429
      Step     Time          Energy         fmax
BFGS:    0 12:24:14     -830.259827       16.3184
BFGS:    1 12:24:14     -829.789124       18.6958
BFGS:    2 12:24:14     -831.197754        3.8041
BFGS:    3 12:24:14     -831.580688        2.6038
BFGS:    4 12:24:15     -831.838989       16.0502
BFGS:    5 12:24:15     -832.488220        3.6976
BFGS:    6 12:24:15     -832.835815        3.7098
BFGS:    7 12:24:15     -832.958191        4.8752
BFGS:    8 12:24:15     -833.340027        2.4485
BFGS:    9 12:24:15     -833.521118        1.4371
BFGS:   10 12:24:15     -833.577332        1.0770
BFGS:   11 12:24:15     -833.598938        0.8851
BFGS:   12 12:24:15     -833.679993        0.7847
BFGS:   13 12:24:15     -833.881226        0.8029
BFGS:   14 12:24:15     -834.005737        0.8178
BFGS:   15 12:24:15     -834.165161        0.8009
BFGS:   16 12:24:15     -834.243774        0.4778
BFGS:   17 12:24:15     -834.270874        0.5564
BFGS:   18 12:24:16     -834.217163        0.5639
BFGS:   19 12:24:16     -834.194946        0.5557
BFGS:   20 12:24:16     -834.158936        0.4593
BFGS:   21 12:24:16     -834.141113        0.2594
BFGS:   22 12:24:16     -834.149109        0.2861
BFGS:   23 12:24:16     -834.215881        0.2629
BFGS:   24 12:24:16     -834.219482        0.2223
BFGS:   25 12:24:16     -834.263062        0.2484
BFGS:   26 12:24:16     -834.273499        0.2868
BFGS:   27 12:24:16     -834.308899        0.3875
BFGS:   28 12:24:16     -834.317993        0.4399
BFGS:   29 12:24:16     -834.297974        0.2149
BFGS:   30 12:24:16     -834.279968        0.1915
BFGS:   31 12:24:16     -834.266052        0.2582
BFGS:   32 12:24:17     -834.251831        0.3646
BFGS:   33 12:24:17     -834.261414        0.4276
BFGS:   34 12:24:17     -834.307617        0.5078
BFGS:   35 12:24:17     -834.321289        0.3408
BFGS:   36 12:24:17     -834.341553        0.3081
BFGS:   37 12:24:17     -834.346069        0.4015
BFGS:   38 12:24:17     -834.339722        0.6042
BFGS:   39 12:24:17     -834.297241        0.7830
BFGS:   40 12:24:17     -834.329651        0.5989
BFGS:   41 12:24:17     -834.425781        1.0978
BFGS:   42 12:24:17     -834.465820        0.8422
BFGS:   43 12:24:17     -834.534302        0.6476
BFGS:   44 12:24:17     -834.591980        1.0245
BFGS:   45 12:24:17     -834.635864        0.6894
BFGS:   46 12:24:18     -834.654236        0.3015
BFGS:   47 12:24:18     -834.664917        0.5175
BFGS:   48 12:24:18     -834.689392        0.8287
BFGS:   49 12:24:18     -834.713562        0.5252
