      Step     Time          Energy         fmax
BFGS:    0 17:09:36        0.349978        1.1165
BFGS:    1 17:09:36        0.320422        1.1175
BFGS:    2 17:09:36       -0.022392        0.6045
BFGS:    3 17:09:37       -0.023512        1.1367
BFGS:    4 17:09:37       -0.057481        0.3775
BFGS:    5 17:09:37       -0.062912        0.3570
BFGS:    6 17:09:37       -0.115815        0.3017
BFGS:    7 17:09:37       -0.124424        0.2977
BFGS:    8 17:09:37       -0.134741        0.3008
BFGS:    9 17:09:38       -0.169232        0.3584
BFGS:   10 17:09:38       -0.196227        0.3860
BFGS:   11 17:09:38       -0.211115        0.4209
BFGS:   12 17:09:38       -0.220373        0.4530
BFGS:   13 17:09:38       -0.240362        0.4774
BFGS:   14 17:09:39       -0.299167        0.5798
BFGS:   15 17:09:39       -0.339343        0.7389
BFGS:   16 17:09:39       -0.400744        0.6530
BFGS:   17 17:09:39       -0.448183        0.3970
BFGS:   18 17:09:39       -0.466314        0.4080
BFGS:   19 17:09:40       -0.474605        0.2914
BFGS:   20 17:09:40       -0.485384        0.3239
BFGS:   21 17:09:40       -0.517340        0.3123
BFGS:   22 17:09:40       -0.526108        0.2175
BFGS:   23 17:09:40       -0.530627        0.1489
BFGS:   24 17:09:41       -0.537580        0.1533
BFGS:   25 17:09:41       -0.541975        0.1607
BFGS:   26 17:09:41       -0.545945        0.1497
BFGS:   27 17:09:41       -0.553460        0.1071
BFGS:   28 17:09:41       -0.554844        0.0916
BFGS:   29 17:09:41       -0.553704        0.0918
BFGS:   30 17:09:42       -0.559152        0.0879
BFGS:   31 17:09:42       -0.559250        0.0895
BFGS:   32 17:09:42       -0.563164        0.0581
BFGS:   33 17:09:42       -0.565522        0.0402
      Step     Time          Energy         fmax
BFGS:    0 19:45:29        0.352853        1.1190
BFGS:    1 19:45:29        0.321751        1.1207
BFGS:    2 19:45:29       -0.025746        0.6082
BFGS:    3 19:45:29       -0.025154        1.1457
BFGS:    4 19:45:29       -0.055734        0.3727
BFGS:    5 19:45:30       -0.066281        0.3577
BFGS:    6 19:45:30       -0.120509        0.2908
BFGS:    7 19:45:30       -0.123962        0.2931
BFGS:    8 19:45:30       -0.175675        0.4069
BFGS:    9 19:45:30       -0.191264        0.3726
BFGS:   10 19:45:31       -0.204084        0.4074
BFGS:   11 19:45:31       -0.220245        0.4586
BFGS:   12 19:45:31       -0.272273        0.5916
BFGS:   13 19:45:31       -0.317021        0.6214
BFGS:   14 19:45:31       -0.343914        0.7623
BFGS:   15 19:45:31       -0.400239        0.6517
BFGS:   16 19:45:32       -0.436632        0.5150
BFGS:   17 19:45:32       -0.450636        0.3753
BFGS:   18 19:45:32       -0.462309        0.3685
BFGS:   19 19:45:32       -0.492806        0.2694
BFGS:   20 19:45:32       -0.512833        0.2099
      Step     Time          Energy         fmax
BFGS:    0 12:23:23     -262.203094        0.8201
BFGS:    1 12:23:23     -262.280853        0.8102
BFGS:    2 12:23:23     -262.377533        0.5739
BFGS:    3 12:23:23     -262.405762        0.3827
BFGS:    4 12:23:23     -262.431244        0.3322
BFGS:    5 12:23:23     -262.428925        0.3023
BFGS:    6 12:23:24     -262.438568        0.2610
BFGS:    7 12:23:24     -262.451813        0.1989
BFGS:    8 12:23:24     -262.455109        0.1458
BFGS:    9 12:23:24     -262.470581        0.1194
BFGS:   10 12:23:24     -262.482635        0.0955
BFGS:   11 12:23:24     -262.483887        0.0593
BFGS:   12 12:23:24     -262.493652        0.0422
      Step     Time          Energy         fmax
BFGS:    0 12:52:14        0.160778        0.5133
BFGS:    1 12:52:14        0.117992        0.4961
BFGS:    2 12:52:14       -0.068406        0.3938
BFGS:    3 12:52:14       -0.082247        0.2732
BFGS:    4 12:52:14       -0.100795        0.2320
BFGS:    5 12:52:14       -0.120578        0.2448
BFGS:    6 12:52:14       -0.124444        0.2537
BFGS:    7 12:52:14       -0.125537        0.2490
BFGS:    8 12:52:14       -0.128282        0.2376
BFGS:    9 12:52:14       -0.125231        0.2336
BFGS:   10 12:52:15       -0.120634        0.2542
BFGS:   11 12:52:15       -0.126212        0.2663
BFGS:   12 12:52:15       -0.137474        0.2733
BFGS:   13 12:52:15       -0.161552        0.2103
BFGS:   14 12:52:15       -0.178504        0.2065
BFGS:   15 12:52:15       -0.190601        0.1648
BFGS:   16 12:52:15       -0.193569        0.1490
BFGS:   17 12:52:15       -0.194057        0.1191
BFGS:   18 12:52:15       -0.193724        0.0885
BFGS:   19 12:52:15       -0.194379        0.0569
BFGS:   20 12:52:15       -0.195255        0.0528
