      Step     Time          Energy         fmax
BFGS:    0 16:59:25        3.655029       12.9022
BFGS:    1 16:59:25        4.560606       15.3064
BFGS:    2 16:59:26        3.191895        6.0887
BFGS:    3 16:59:26        2.843286        3.4646
BFGS:    4 16:59:26        2.721811        1.4758
BFGS:    5 16:59:26        2.622473        1.7704
BFGS:    6 16:59:27        2.451128        5.3155
BFGS:    7 16:59:27        2.304608        2.2556
BFGS:    8 16:59:27        2.211669        1.8885
BFGS:    9 16:59:28        2.056418        1.0312
BFGS:   10 16:59:28        2.028545        0.6954
BFGS:   11 16:59:28        1.978987        0.7136
BFGS:   12 16:59:28        1.921536        0.7941
BFGS:   13 16:59:29        1.761129        1.8135
BFGS:   14 16:59:29        1.644937        3.6135
BFGS:   15 16:59:29        1.669576        3.1839
BFGS:   16 16:59:29        1.445226        1.8834
BFGS:   17 16:59:30        1.275153        3.4245
BFGS:   18 16:59:30        0.671159        5.1014
BFGS:   19 16:59:30        0.236000        4.2066
BFGS:   20 16:59:31        0.068296        1.1521
BFGS:   21 16:59:31        0.060126        3.6058
BFGS:   22 16:59:31       -0.013637        2.2380
BFGS:   23 16:59:31       -0.051411        0.3860
BFGS:   24 16:59:32       -0.075760        0.4162
BFGS:   25 16:59:32       -0.134078        1.2801
BFGS:   26 16:59:32       -0.145411        0.7669
BFGS:   27 16:59:33       -0.150574        0.2905
BFGS:   28 16:59:33       -0.166370        0.6481
BFGS:   29 16:59:33       -0.196774        1.0242
BFGS:   30 16:59:33       -0.220821        0.5540
BFGS:   31 16:59:34       -0.240509        0.5166
BFGS:   32 16:59:34       -0.257292        0.3877
BFGS:   33 16:59:34       -0.282827        0.4415
BFGS:   34 16:59:34       -0.317422        0.9355
BFGS:   35 16:59:35       -0.362033        1.2549
BFGS:   36 16:59:35       -0.395760        1.2112
BFGS:   37 16:59:35       -0.411050        0.4003
BFGS:   38 16:59:36       -0.417485        0.8144
BFGS:   39 16:59:36       -0.423727        0.8660
BFGS:   40 16:59:36       -0.434154        0.3792
BFGS:   41 16:59:36       -0.446370        0.3415
BFGS:   42 16:59:37       -0.456444        0.4912
BFGS:   43 16:59:37       -0.464646        0.2800
BFGS:   44 16:59:37       -0.465026        0.1356
BFGS:   45 16:59:37       -0.472507        0.1168
BFGS:   46 16:59:38       -0.478885        0.1890
BFGS:   47 16:59:38       -0.484623        0.1223
BFGS:   48 16:59:38       -0.484159        0.1078
BFGS:   49 16:59:39       -0.485733        0.1065
BFGS:   50 16:59:39       -0.484705        0.1709
BFGS:   51 16:59:39       -0.491612        0.3153
BFGS:   52 16:59:39       -0.499472        0.2605
BFGS:   53 16:59:40       -0.500560        0.1669
BFGS:   54 16:59:40       -0.505145        0.0788
BFGS:   55 16:59:40       -0.509370        0.0812
BFGS:   56 16:59:40       -0.511363        0.2685
BFGS:   57 16:59:41       -0.519401        0.0634
BFGS:   58 16:59:41       -0.522992        0.1557
