      Step     Time          Energy         fmax
BFGS:    0 17:50:38        0.803289        1.5369
BFGS:    1 17:50:39        0.721135        1.4260
BFGS:    2 17:50:39        0.242067        2.3134
BFGS:    3 17:50:39        0.184627        0.3922
BFGS:    4 17:50:39        0.133478        0.5211
BFGS:    5 17:50:39        0.053898        0.6579
BFGS:    6 17:50:39        0.040533        0.3473
BFGS:    7 17:50:40        0.039321        0.1202
BFGS:    8 17:50:40        0.037556        0.1595
BFGS:    9 17:50:40        0.028316        0.2365
BFGS:   10 17:50:40        0.028505        0.2830
BFGS:   11 17:50:40        0.019280        0.2817
BFGS:   12 17:50:41        0.012992        0.2010
BFGS:   13 17:50:41        0.008899        0.1808
BFGS:   14 17:50:41       -0.002029        0.2458
BFGS:   15 17:50:41       -0.002565        0.3243
BFGS:   16 17:50:41       -0.025975        0.6291
BFGS:   17 17:50:42       -0.057868        0.7432
BFGS:   18 17:50:42       -0.117474        0.8151
BFGS:   19 17:50:42       -0.209920        0.8792
BFGS:   20 17:50:42       -0.340768        0.8148
BFGS:   21 17:50:42       -0.414791        0.5159
BFGS:   22 17:50:43       -0.467804        0.4740
BFGS:   23 17:50:43       -0.564590        1.0246
BFGS:   24 17:50:43       -0.607924        0.8921
BFGS:   25 17:50:43       -0.708874        0.7705
BFGS:   26 17:50:43       -0.838248        0.5814
BFGS:   27 17:50:43       -0.849989        0.5490
BFGS:   28 17:50:44       -0.869570        0.5751
BFGS:   29 17:50:44       -0.898705        0.5444
BFGS:   30 17:50:44       -0.921774        0.4414
BFGS:   31 17:50:44       -0.957952        0.2492
BFGS:   32 17:50:44       -0.969310        0.1773
BFGS:   33 17:50:45       -0.976068        0.1545
BFGS:   34 17:50:45       -0.986838        0.1772
BFGS:   35 17:50:45       -0.996206        0.1535
BFGS:   36 17:50:45       -0.990665        0.0882
BFGS:   37 17:50:45       -0.997023        0.0716
BFGS:   38 17:50:46       -0.986004        0.0597
BFGS:   39 17:50:46       -0.988533        0.0483
      Step     Time          Energy         fmax
BFGS:    0 20:18:37        0.010712        0.9345
BFGS:    1 20:18:37       -0.055131        0.8814
BFGS:    2 20:18:37       -0.639134        0.7652
BFGS:    3 20:18:37       -0.683154        0.3579
BFGS:    4 20:18:37       -0.691892        0.3179
BFGS:    5 20:18:38       -0.729237        0.2712
BFGS:    6 20:18:38       -0.732326        0.2820
BFGS:    7 20:18:38       -0.755617        0.3518
BFGS:    8 20:18:38       -0.761385        0.3275
BFGS:    9 20:18:38       -0.786442        0.3595
BFGS:   10 20:18:39       -0.804536        0.5006
BFGS:   11 20:18:39       -0.832873        0.6312
BFGS:   12 20:18:39       -0.836337        0.7069
BFGS:   13 20:18:39       -0.890576        0.6574
BFGS:   14 20:18:39       -0.934204        0.5903
BFGS:   15 20:18:40       -0.992182        0.3059
BFGS:   16 20:18:40       -1.016994        0.2145
BFGS:   17 20:18:40       -1.026676        0.1733
BFGS:   18 20:18:40       -1.027632        0.1647
BFGS:   19 20:18:41       -1.030967        0.1348
BFGS:   20 20:18:41       -1.026153        0.0593
      Step     Time          Energy         fmax
BFGS:    0 12:32:35     -395.397552        1.0360
BFGS:    1 12:32:35     -395.766541        0.9699
BFGS:    2 12:32:35     -396.732635        1.1981
BFGS:    3 12:32:35     -396.781555        0.7423
BFGS:    4 12:32:35     -396.824097        0.5496
BFGS:    5 12:32:35     -396.945343        0.3294
BFGS:    6 12:32:35     -396.956482        0.3073
BFGS:    7 12:32:35     -396.971588        0.2109
BFGS:    8 12:32:35     -396.984131        0.1579
BFGS:    9 12:32:35     -396.978882        0.1643
BFGS:   10 12:32:35     -396.927002        0.2251
BFGS:   11 12:32:35     -396.925323        0.3175
BFGS:   12 12:32:36     -396.919922        0.2964
BFGS:   13 12:32:36     -396.917908        0.2954
BFGS:   14 12:32:36     -396.962006        0.4737
BFGS:   15 12:32:36     -396.929993        0.7279
BFGS:   16 12:32:36     -396.861206        0.7423
BFGS:   17 12:32:36     -396.975555        0.6774
BFGS:   18 12:32:36     -397.187805        0.7614
BFGS:   19 12:32:36     -397.290375        0.6411
BFGS:   20 12:32:36     -397.301636        0.3581
      Step     Time          Energy         fmax
BFGS:    0 13:06:33       -0.116828        0.6912
BFGS:    1 13:06:34       -0.253634        0.6620
BFGS:    2 13:06:34       -0.766318        0.5079
BFGS:    3 13:06:34       -0.889569        0.2451
BFGS:    4 13:06:34       -0.892133        0.2311
BFGS:    5 13:06:34       -0.900287        0.1748
BFGS:    6 13:06:34       -0.909637        0.1154
BFGS:    7 13:06:34       -0.921448        0.0481
